真剣(マジ)で私(わたし)に恋しなさい!!,5,"野山, 風一郎",一迅社,KH447,2011.5,9784758042215
ツインスター・サイクロン・ランナウェイ.,3,"小川, 一水, 1975-",早川書房,KH971,2023.6,9784150315535
推し、燃ゆ,,"宇佐見, りん, 1999-",河出書房新社,KH971,2023.7,9784309419787
君が見たのは誰の夢?,,"森, 博嗣, 1957-",講談社,KH971,2023.4,9784065309704
真剣(マジ)で私(わたし)に恋しなさい!!,3,"野山, 風一郎",一迅社,KH447,2010.9,9784758041751
真剣(マジ)で私(わたし)に恋しなさい!!,2,"野山, 風一郎",一迅社,KH447,2010.5,9784758041485
真剣(マジ)で私(わたし)に恋しなさい!!,,"野山, 風一郎",一迅社,KH447,2010.1,9784758041249
真剣(マジ)で私(わたし)に恋しなさい!!,6,ホークアイ,一迅社,KH447,2011.9,9784758042536
十七八より,,"乗代, 雄介, 1986-",講談社,KH971,2022.1,9784065264034
スーパーの裏でヤニ吸うふたり,2,地主,スクウェア・エニックス,Y84,2023.1,9784757583627
ブラック・ラグーンエダイニシャルステージ.,1,"やまむら, はじめ, 1968-",小学館,Y84,2022.9,9784091576903
私はあなたの瞳の林檎,,"舞城, 王太郎, 1973-",講談社,KH971,2021.9,9784065248942
されど私の可愛い檸檬,,"舞城, 王太郎, 1973-",講談社,KH971,2021.1,9784065249376
諍い・ハーレム.,1,"シギサワ, カヤ",白泉社,Y84,2021.2,9784592711803
君たちは絶滅危惧種なのか?,,"森, 博嗣, 1957-",講談社,KH971,2021.4,9784065220030
ダンジョンの中のひと.,1,"双見, 酔",双葉社,Y84,2021.2,9784575855470
ポーの一族,2,"萩尾, 望都, 1949-",小学館,Y84,2016.5,9784091384096
ポーの一族,1,"萩尾, 望都, 1949-",小学館,Y84,2016.5,9784091384003
幻想ギネコクラシー,2,"沙村, 広明, 1970-",白泉社,Y84,2017.5,9784592711162
33歳独身女騎士隊長。,2,天原,BookLive,Y84,2021.1,9784866751368
BLACK LAGOON.,12,"広江, 礼威",小学館,Y84,2021.8,9784091576460
メランコリア,上巻,"道満, 晴明",集英社,Y84,2018.3,9784088908830
メランコリア,下巻,"道満, 晴明",集英社,Y84,2019.3,9784088912417
ザ・ビデオ・ゲーム・ウィズ・ノーネーム,,"赤野, 工作",KADOKAWA,KH811,2017.6,9784040723471
モモ艦長の秘密基地,1,"鶴田, 謙二",白泉社,Y84,2022.4,9784592712008
リアルの私はどこにいる？ : Ｗｈｅｒｅ　Ａｍ　Ｉ　ｏｎ　ｔｈｅ　Ｒｅａｌ　Ｓｉｄｅ？,,"森, 博嗣, 1957-",講談社,KH971,2022.4.15,9784065268063
人類最強の初恋,,"西尾, 維新, 1981-",講談社,KH971,2020.5,9784065197165
スパイ教室,1,竹町,KADOKAWA,KH971,2020.1,9784040734804
クリュセの魚,,"東, 浩紀, 1971-",河出書房新社,KH811,2016.8,9784309414737
宙(そら)に参る.,2,"肋骨, 凹介",リイド社,Y84,2021.8,9784845860999
ツインスター・サイクロン・ランナウェイ.,2,"小川, 一水, 1975-",早川書房,KH971,2022.2,9784150315061
恋と禁忌の述語論理(プレディケット),,"井上, 真偽",講談社,KH971,2018.12,9784065139950
げいさい,,"会田, 誠, 1965-",文藝春秋,KH971,2023.1,9784167921156
コンビニ人間,,"村田, 沙耶香, 1979-",文藝春秋,KH881,2018.9,9784167911300
人間に向いてない,,"黒澤, いづみ",講談社,KH971,2020.5,9784065197844
ブルースカイ,,"桜庭, 一樹, 1971-",早川書房,KH525,2011.4,9784150310288
i (アイ),,"西, 加奈子",ポプラ社,KH971,2019.11,9784591164457
走馬灯のセトリは考えておいて,,"柴田, 勝家, 1987-",早川書房,KH971,2022.11,9784150315375
殊能将之未発表短篇集,,"殊能, 将之, 1964-2013",講談社,KH971,2022.8,9784065289839
スパイ教室,2,竹町,KADOKAWA,KH971,2020.4,9784040736365
笑わない数学者,,"森, 博嗣, 1957-",講談社,KH372,1999.7,9784062646147
恋は暗黒。,,"十文字, 青",KADOKAWA,KH971,2022.8,9784046816603
キッチン,,"吉本, ばなな, 1964-",新潮社,KH747,2002.7,9784101359137
渚にて : 人類最後の日,,"Shute, Nevil, 1899-1960",東京創元社,KS171,2009.4,9784488616038
フリースタイル言語学,,"川原, 繁人, 1980-",大和書房,言語学,2022.6,9784479393894
境界線上のホライゾン,1 上,"川上, 稔, 1975-",アスキー・メディアワークス,KH258,2008.9,9784048672184
裏世界ピクニック,2,"宮澤, 伊織",早川書房,KH874,2017.1,9784150313012
六畳間ミステリーアパート,,"河端, ジュン一, 1988-",新潮社,KH971,2022.11,9784101802367
